property_number,description,cost
,"Vacuum Cleaner, 
Model Toha TX-01
SN: 1803AFY134673B00103",
,"GENERATOR, PROMATE,25L	
SN: 220101097",
,"GENERATOR, FUJIHAMA,KC650E
YELLOW",
,"VSAT, PLATE",
,"VSAT, PLATE",
0000-04-07-CE0014.DC1-CPO,"Codan Envoy Desk Console, Type 2230 High Frequency (HF) radio
SN: R640602N0021",
0000-04-07-CE0015.RF1-CPO,"Codan Envoy Desk RF Unit, Type 2210
SN: R640634U0021",
0000-04-07-CE0016.TS1-CPO,"Codan 3020 Transceiver Supply (TS3020-H)
SN: A2507010001",
0000-04-03-CE0017.PTR1-CPO,"Portable Radio, Kirisun T60 Portable 4G LTE PoC Radio",
0000-04-07-CE0003.SP1-CPO,"Satellite Phone,
THURAYA XT-Lite
IMEI: 35606506-148703-2",
0000-04-07-CE0003.SP2-CPO,"Satellite Phone,
THURAYA XT-Lite
IMEI: 35606506-144374-6",
0000-04-03-IT0026.MIC1-CPO,"Wired Microphone
Boya BY-PM500",
0000-04-03-CE0011.PTR1-CPO,"Two Way Radio, Baofeng BF-888S 
SN: PH888S40403",
0000-04-03-CE0011.PTR2-CPO,"Two Way Radio, Baofeng BF-888S 
SN: PH888S40170",
,"ICOM HF RadioTelephone
IC-M700TY
SN: 9823",
0000-04-01-FF022.OT1-CPO,"Table, Tempered Glass Dining Set
Model: T9092A (White and Orange)",
0000-04-01-FF022.OT2-CPO,"Table, Tempered Glass Dining Set
Model: T9092A (White and Orange)",
0000-04-01-FF0042.CT1-CPO,"Table, Computer Table (Sanyang 405317)",
0000-04-01-FF0042.CT2-CPO,"Table, Computer Table (Sanyang 405317)",
0000-04-03-IT0096..OT3-CPO,"Table, Two Tiered Center Table with Glass Top (SMLH5-11006)",
0000-04-03-FF0021.OT2-CPO,"Office Table
8516 L-Type Executive Table L-type

Short Drawer: W40 x H58 cm
Long Drawer: W80 x D40 x H76 cm",
0000-04-01-FF0042.CT3-CPO,"Table, Computer Table (Sanyang 405317)",
0000-04-01-FF0042.CT4-CPO,"Table, Computer Table (Sanyang 405317)",
0000-04-01-FF0030.OT8-CPO,"Folding Table, Lifetime 4x2 ft. (White)
Model: Lifetime 4ft. Folding Table
SN: N/A",
0000-04-01-FF0030.OT9-CPO,"Folding Table, Lifetime 4x2 ft. (White)
Model: Lifetime 4ft. Folding Table
SN: N/A",
0000-04-01-FF0030.OT10-CPO,"Folding Table, Lifetime 4x2 ft. (White)
Model: Lifetime 4ft. Folding Table
SN: N/A",
0000-04-01-FF0030.OT11-CPO,"Folding Table, Lifetime 4x2 ft. (White)
Model: Lifetime 4ft. Folding Table
SN: N/A",
0000-04-01-FF0030.OT12-CPO,"Folding Table, Lifetime 4x2 ft. (White)
Model: Lifetime 4ft. Folding Table
SN: N/A",
0000-04-01-FF0030.OT13-CPO,"Folding Table, 180 x 73 cm (White)
Model: N/A
SN: N/A",
0000-04-01-FF0030.OT14-CPO,"Folding Table, 180 x 73 cm (White)
Model: N/A
SN: N/A",
0000-04-01-FF0030.OT15-CPO,"Folding Table, 180 x 73 cm (White)
Model: N/A
SN: N/A",
0000-04-01-FF0030.OT16-CPO,"Folding Table, 180 x 73 cm (White)
Model: N/A
SN: N/A",
0000-04-01-FF0030.OT17-CPO,"Folding Table, 180 x 73 cm (White)
Model: N/A
SN: N/A",
2024-04-01-FF0008.OT18-CPO,"Office Table, SMP 212  3 Side Drawer with Centralized Lock System and 1 Center Drawer with Lock",
2024-04-01-FF0008.OT19-CPO,"Office Table, SMP 212  3 Side Drawer with Centralized Lock System and 1 Center Drawer with Lock",
2024-04-01-FF0008.OT20-CPO,"Office Table, SMP 212  3 Side Drawer with Centralized Lock System and 1 Center Drawer with Lock",
2024-04-01-FF0008.OT21-CPO,"Office Table, SMP 212  3 Side Drawer with Centralized Lock System and 1 Center Drawer with Lock",
2024-04-01-FF0020.OT22-CPO,"Office Table, Sanyang 408203 5 drawers and 1 Door for Storage",
2024-04-01-FF0020.OT23-CPO,"Office Table,Sanyang 408203 5 drawers and 1 Door for Storage",
,"LIFETIME Table
Model #2940
SN:841101002810",
,"Executive Table
L-type 160 x 80 W x 120 x 45 x 65",
,"Office Table
100L x 50W x 75H",
,"Office Table
100L x 50W x 75H",
,"Office Table
100L x 50W x 75H",
,"Office Table
100L x 50W x 75H",
,"Foldable Table
Heavy duty L180 x W74 x H74",
,"Foldable Table
Heavy duty L180 x W74 x H74",
,"Foldable Table
Heavy duty L180 x W74 x H74",
,"Foldable Table
Heavy duty L180 x W74 x H74",
,"Foldable Table
Heavy duty L180 x W74 x H74",
,"Foldable Table
Heavy duty L180 x W74 x H74",
,"Foldable Table
Heavy duty L180 x W74 x H74",
,"Foldable Table
Heavy duty L180 x W74 x H74",
,"Foldable Table
Heavy duty L180 x W74 x H74",
0000-04-01-FF0030.OT5-CPO,"Foldable Table
Heavy duty L180 x W74 x H74",
0000-04-01-FF0040.OC2-CPO,"Executive Chair, Leatherette
with Metal Base",
0000-04-01-FF0017.OC3-CPO,Gang Chair with Leatherette Cushion and Metal Base - 3 Seater,
0000-04-01-FF0017.OC4-CPO,Gang Chair with Leatherette Cushion and Metal Base - 3 Seater,
0000-04-01-FF0027.OC5-CPO,"Wooden Chair, Flat Square Seat
Wooden backrest with three vertical slats",
0000-04-01-FF0027.OC6-CPO,"Wooden Chair, Flat Square Seat
Wooden backrest with three vertical slats",
0000-04-01-FF0032.OC1-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC3-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC4-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC5-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC6-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC7-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC8-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC9-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC10-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC11-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC12-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC13-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC14-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC15-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC16-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC17-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC18-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC19-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC20-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC21-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC22-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC23-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC24-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC25-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC26-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC27-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC28-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC29-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC30-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC31-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0032.OC32-CPO,"Chair, Anders Folding Chair",
0000-04-01-FF0037.C1-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Green",
0000-04-01-FF0037.C2-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Yellow",
0000-04-01-FF0037.C3-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Orange",
0000-04-01-FF0037.C4-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Red",
0000-04-01-FF0037.C5-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Yellow",
0000-04-01-FF0037.C6-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Yellow",
0000-04-01-FF0037.C7-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Green",
0000-04-01-FF0037.C8-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Green",
0000-04-01-FF0037.C9-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Orange",
0000-04-01-FF0037.C10-CPO,"Chair, Cofta Gardenia Monobloc Chair
Color: Red",
0000-04-01-FF0037.C11-CPO,"Chair, Monoblock Chair 
Color: Beige",
0000-04-01-FF0037.C12-CPO,"Chair, Monoblock Chair 
Color: Beige",
0000-04-01-FF0037.C13-CPO,"Chair, Monoblock Chair 
Color: Beige",
0000-04-01-FF0037.C14-CPO,"Chair, Monoblock Chair 
Color: Beige",
0000-04-01-FF0037.C15-CPO,"Chair, Monoblock Chair 
Color: Beige",
0000-04-01-FF0037.C16-CPO,"Chair, Monoblock Chair 
Color: Beige",
0000-04-01-FF0037.C17-CPO,"Chair, Monoblock Chair 
Color: Beige",
0000-04-01-FF0037.C18-CPO,"Chair, Monoblock Chair 
Color: Beige",
0000-04-01-FF0037.C19-CPO,"Chair, Monoblock Chair 
Color: Beige",
0000-04-01-FF0037.C20-CPO,"Chair, Monoblock Chair 
Color: Beige",
,"Executive Chair
High back, leatherette",
,"Office Chair
Midback, mesh type",
,"Office Chair
Midback, mesh type",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
,"Foldable Chair
Heavy duty 84cm x 50.5cm x 56cm white",
0000-04-01-FF0044.R1-CPO,777 5L Imara Rectangular Shoe Rack/Multi Purpose Rack,
0000-04-01-FF0013.C1-CPO,"Cabinet, Hermaco 4 Drawer Vertical Cabinet with safe",
0000-04-01-FF0041.S1-CPO,Wooden Shelf -3 Layer,
0000-04-99-OtE088.PS1-CPO,"Portable Projection Screen
Brand/Model: Acer  P25-W01",
0000-04-01-FF0023.C2-CPO,"Wooden display cabinet 
-5 Shelves with Glass Door and 1 Drawer",
